id,unix_utc,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,boost,bonus
1336614,1769259900,2,14,19,20,22,30,33,43,44,45,52,54,57,63,70,71,74,76,77,78,3,44
1336615,1769260200,1,5,9,13,14,16,21,26,35,38,39,55,61,64,66,70,72,74,75,80,1,38
1336616,1769260500,1,2,5,6,10,16,19,20,33,42,43,45,48,55,66,67,69,72,75,76,2,75
1336617,1769260800,4,7,9,13,17,21,24,28,30,36,40,41,45,48,49,52,59,66,76,77,1,17
1336618,1769261100,2,5,6,15,17,19,26,27,32,33,34,39,40,48,59,60,61,62,69,79,1,32
1336619,1769261400,1,3,6,14,15,17,21,24,25,31,35,40,43,46,47,60,65,66,72,77,1,47
1336620,1769261700,1,7,14,15,16,19,20,28,31,32,33,39,46,48,50,56,58,67,72,80,1,39
1336621,1769262000,1,2,10,12,14,15,26,29,31,34,37,40,42,44,45,50,55,66,68,75,1,34
1336622,1769262300,5,9,11,14,17,23,29,37,42,43,46,58,62,65,69,73,74,75,79,80,1,17
1336623,1769262600,11,16,17,19,21,22,33,35,36,38,42,53,56,57,62,63,66,69,72,74,4,19
1336624,1769262900,1,10,12,13,14,17,19,20,23,30,31,33,34,53,55,63,69,71,72,79,3,33
1336625,1769263200,14,16,17,18,28,29,31,41,43,45,49,50,54,55,60,61,66,72,76,80,1,72
1336626,1769263500,6,9,12,20,25,26,34,38,40,43,44,53,57,58,61,62,65,66,68,72,2,57
1336627,1769263800,19,21,22,25,28,34,37,39,41,44,48,49,50,59,64,67,71,74,75,77,10,67
1336628,1769264100,2,8,10,13,18,19,20,24,28,30,33,34,36,37,38,40,58,70,72,73,1,2
1336629,1769264400,2,3,4,7,9,14,15,16,19,22,33,37,39,41,44,52,54,57,68,80,1,2
1336630,1769264700,6,13,14,17,18,22,27,30,31,33,35,36,37,47,56,58,63,65,69,76,1,37
1336631,1769265000,2,8,11,13,14,16,17,21,31,34,40,43,44,48,50,60,64,68,71,78,2,11
1336632,1769265300,10,17,25,29,32,36,37,39,43,44,47,52,58,60,61,62,68,71,75,77,1,71
1336633,1769265600,3,4,9,14,24,29,34,41,44,47,50,52,61,67,68,72,75,76,78,79,1,61
1336634,1769265900,1,3,5,12,14,17,20,22,23,31,35,41,53,56,60,61,63,70,73,76,4,14
1336635,1769266200,1,8,11,21,23,24,25,26,28,32,38,42,49,52,54,59,64,65,78,80,1,59
1336636,1769266500,1,3,10,16,18,30,31,32,33,34,35,37,42,46,57,58,59,65,70,77,3,37
1336637,1769266800,5,8,13,14,15,16,19,26,30,31,36,47,62,65,69,73,75,76,77,79,2,77
1336638,1769267100,4,8,10,12,20,21,25,26,27,35,37,40,41,42,43,46,55,74,78,79,4,74
1336639,1769267400,2,5,11,14,18,22,27,33,34,45,46,51,54,60,61,66,69,71,79,80,2,11
1336640,1769267700,2,5,7,8,16,24,25,31,38,41,43,48,49,53,61,62,67,68,78,79,1,78
1336641,1769268000,2,4,9,19,23,24,27,29,32,35,39,42,43,46,49,56,59,65,70,72,1,43
1336642,1769268300,2,14,15,23,30,38,39,42,49,52,55,56,60,65,67,68,70,75,76,79,1,49
1336643,1769268600,2,3,13,25,26,27,33,35,41,45,48,50,54,56,59,67,70,76,77,80,2,59
1336644,1769268900,7,9,10,18,19,21,23,35,41,42,44,45,46,47,48,56,58,61,71,80,2,48
1336645,1769269200,2,3,14,15,22,23,25,27,29,32,33,37,38,39,42,46,51,53,62,68,1,68
1336646,1769269500,3,4,5,6,10,20,24,25,26,43,44,45,46,53,54,56,68,72,75,76,1,68
1336647,1769269800,1,4,17,19,23,25,26,28,31,32,33,37,38,43,49,58,60,68,75,79,4,43
1336648,1769270100,3,5,20,30,31,34,37,40,42,48,56,57,59,60,62,64,67,68,71,72,3,68
1336649,1769270400,6,11,16,18,26,27,28,36,41,43,45,47,50,51,52,68,71,73,76,77,5,26
1336650,1769270700,4,6,16,18,21,23,26,32,35,46,49,53,58,60,61,62,67,71,79,80,1,35
1336651,1769271000,1,2,4,5,6,10,17,20,23,29,31,35,42,57,58,59,65,68,71,74,2,74
1336652,1769271300,5,6,10,12,13,16,17,21,25,26,28,30,32,38,46,47,54,66,75,78,1,28
1336653,1769271600,3,6,17,20,24,25,26,30,31,36,40,44,49,54,57,68,69,70,72,78,5,31
1336654,1769271900,4,17,18,19,27,29,31,34,36,38,40,43,46,48,49,62,63,70,72,76,1,62
1336655,1769272200,4,11,12,16,17,19,24,30,37,38,41,48,58,65,66,67,68,71,76,77,1,37
1336656,1769272500,5,10,11,14,22,34,35,44,52,59,61,66,67,69,70,72,75,76,79,80,3,35
1336657,1769272800,4,8,9,10,11,12,18,20,24,26,44,45,51,63,64,67,68,70,72,76,2,12
1336658,1769273100,2,11,17,22,24,25,29,33,38,43,45,47,49,51,52,53,56,60,64,69,3,25
1336659,1769273400,8,10,12,14,17,23,26,31,38,39,46,49,52,59,61,62,63,72,77,78,4,38
1336660,1769273700,4,7,15,16,19,22,27,34,36,41,44,49,50,53,62,66,67,69,73,77,1,22
1336661,1769274000,3,6,11,17,21,28,32,37,38,45,46,51,52,53,59,62,64,75,78,79,2,17
1336662,1769274300,13,25,28,29,34,36,41,42,47,51,55,59,60,65,68,72,75,76,77,78,1,25
1336663,1769274600,1,2,14,15,18,19,22,28,33,36,44,46,47,48,54,59,61,68,70,76,1,14
1336664,1769274900,1,2,10,16,17,18,21,22,24,26,33,37,40,43,51,52,56,62,71,79,10,16
1336665,1769275200,4,5,14,16,25,30,36,38,44,45,46,51,63,65,69,70,73,77,78,80,2,16
1336666,1769275500,3,6,11,14,15,19,20,27,31,32,39,48,50,52,54,56,60,61,62,80,2,48
1336667,1769275800,1,10,11,20,23,24,34,42,49,52,55,56,57,60,65,67,70,73,77,78,2,49
1336668,1769276100,3,6,8,9,10,11,15,18,20,22,23,24,29,32,34,51,57,63,73,79,1,11
1336669,1769276400,1,2,16,17,18,21,27,29,37,44,45,47,52,55,56,66,68,71,72,74,1,72
1336670,1769276700,9,12,13,14,16,20,22,23,33,37,38,39,49,51,56,58,61,65,70,74,1,14
1336671,1769277000,1,3,6,7,12,16,23,26,36,42,44,45,46,50,54,56,60,64,70,79,1,6
1336672,1769277300,2,5,6,8,15,20,21,25,26,27,31,37,45,46,50,52,66,67,77,79,1,26
1336673,1769277600,4,12,20,21,22,26,27,28,33,36,40,46,48,54,57,61,63,68,69,80,2,46
1336674,1769277900,2,4,11,14,19,20,24,29,35,38,40,45,58,59,61,64,67,71,74,80,10,64
1336675,1769278200,3,4,27,36,38,42,47,54,55,57,59,61,63,67,69,71,72,75,79,80,1,54
1336676,1769278500,2,5,7,8,10,11,21,26,32,37,38,39,47,51,58,59,61,67,76,77,10,61
1336677,1769278800,4,10,11,19,21,24,27,28,29,46,49,51,59,63,65,66,67,70,75,80,3,51
1336678,1769279100,6,7,19,23,24,29,30,42,43,45,52,56,57,58,59,63,65,72,74,80,1,59
1336679,1769279400,1,5,11,12,18,30,32,33,36,40,52,56,65,66,68,70,72,75,77,80,1,5
1336680,1769279700,2,8,9,10,11,15,27,37,38,41,43,44,50,52,55,57,62,64,66,67,2,67
1336681,1769280000,1,2,9,11,14,17,20,23,32,37,39,44,47,55,56,63,64,71,76,80,1,76
1336682,1769280300,6,7,8,12,19,20,22,27,31,34,35,39,49,52,55,56,62,64,70,77,10,77
1336683,1769280600,7,19,20,48,49,50,53,54,55,57,61,62,66,68,70,73,74,75,78,79,2,74
1336684,1769280900,1,6,11,25,28,32,33,35,42,45,48,49,50,54,55,63,64,66,68,71,1,45
1336685,1769281200,2,3,4,9,14,33,35,37,45,48,50,56,58,60,62,63,67,69,74,77,1,62
1336686,1769281500,4,5,6,7,10,16,23,25,38,43,48,55,60,61,65,68,69,70,71,72,3,10
1336687,1769281800,4,5,7,8,10,11,12,22,26,30,33,35,44,45,52,65,66,68,73,77,1,30
1336688,1769282100,1,5,6,17,21,22,23,34,39,47,53,58,59,64,68,72,73,74,76,79,4,53
1336689,1769282400,2,3,6,7,8,15,16,24,25,28,35,38,39,42,44,51,65,67,75,78,1,16
1336690,1769282700,3,7,8,11,15,21,24,29,31,32,35,39,40,48,55,57,62,67,73,77,1,29
1336691,1769283000,5,9,13,20,24,25,28,31,32,34,43,48,52,54,57,59,62,65,71,76,2,13
1336692,1769283300,2,4,14,15,17,18,27,31,39,43,45,48,50,56,64,66,67,68,74,78,2,74
1336693,1769283600,4,8,17,18,19,24,31,37,41,43,45,54,57,58,59,61,62,68,74,75,1,43
1336694,1769283900,3,4,10,11,17,20,27,28,29,32,33,34,35,41,46,48,55,73,74,78,3,55
1336695,1769284200,6,8,12,14,16,17,19,20,25,27,29,34,38,39,46,47,49,52,62,79,1,12
1336696,1769284500,6,9,12,13,17,27,28,30,43,44,46,50,56,61,62,67,69,73,76,77,1,69
1336697,1769284800,5,6,9,17,19,21,31,35,43,44,50,55,61,63,66,67,71,73,76,79,2,50
1336698,1769285100,13,33,35,37,38,41,44,47,50,54,56,58,59,67,69,75,76,77,78,80,1,76
1336699,1769285400,4,13,14,15,16,18,19,21,25,26,31,36,39,47,53,57,62,70,71,78,4,13
1336700,1769285700,1,15,16,21,25,26,30,42,45,46,47,49,51,52,65,71,72,75,78,80,4,46
1336701,1769286000,3,13,18,19,29,30,32,35,43,50,51,52,54,57,61,62,67,70,72,80,1,70
1336702,1769286300,3,6,16,18,19,20,27,30,31,36,44,45,47,49,54,59,68,71,73,79,4,20
1336703,1769286600,2,3,13,22,23,25,29,36,38,43,44,46,47,52,57,60,66,70,74,79,2,70
1336704,1769286900,3,7,8,15,16,18,19,20,25,27,36,38,40,42,50,53,57,58,59,78,2,8
1336705,1769287200,3,8,14,24,25,31,35,37,38,39,40,43,62,64,66,70,73,74,79,80,2,74
1336706,1769287500,2,5,7,9,10,11,15,17,24,25,27,37,39,45,57,60,66,70,72,73,1,7
1336707,1769287800,5,9,11,15,18,21,22,25,27,32,34,38,42,47,54,55,70,76,78,79,2,70
1336708,1769288100,3,5,19,20,28,32,36,37,39,40,44,49,50,51,54,55,72,75,76,79,3,32
1336709,1769288400,13,17,19,23,31,33,35,38,39,43,45,51,52,54,63,65,66,69,70,78,2,19
1336710,1769288700,1,4,10,11,12,14,17,26,33,36,42,48,52,53,55,56,68,70,76,78,4,11
1336711,1769289000,2,10,11,14,18,19,24,30,40,45,50,54,55,60,63,68,70,74,75,76,1,40
1336712,1769289300,8,13,16,17,20,23,25,27,32,38,44,46,47,52,53,55,61,64,71,72,3,17
1336713,1769289600,3,5,6,10,14,15,17,18,20,27,31,36,43,45,57,66,72,75,76,80,1,20
1336714,1769289900,2,7,16,20,22,23,31,33,34,36,42,45,50,56,58,60,65,71,75,76,3,22
1336715,1769290200,6,7,11,12,15,19,20,31,34,36,39,40,42,50,53,56,57,62,63,79,2,11
1336716,1769290500,2,8,9,12,15,18,28,36,37,39,51,53,55,63,67,71,72,73,74,79,2,51
1336717,1769290800,2,5,6,12,13,14,16,18,19,26,32,38,40,49,52,56,61,71,72,75,4,52
1336718,1769291100,5,8,15,17,19,27,33,34,37,40,43,45,51,53,59,60,61,63,65,79,1,15
1336719,1769291400,2,3,5,12,15,17,19,24,28,32,34,36,40,47,51,55,60,61,65,71,1,5
1336720,1769291700,2,5,8,15,16,22,24,28,38,43,54,55,57,66,69,70,72,73,77,79,3,77
1336721,1769292000,7,9,17,20,28,33,35,39,42,44,45,51,57,58,66,68,69,72,73,74,3,9
1336722,1769317500,1,5,7,8,10,11,24,26,31,38,43,49,50,55,56,59,63,69,76,78,3,76
1336723,1769317800,1,3,10,11,22,23,24,28,37,42,43,50,59,60,61,63,65,68,69,72,2,60
1336724,1769318100,4,6,10,14,15,16,21,26,27,30,32,39,41,45,51,52,64,65,69,74,1,41
1336725,1769318400,10,12,15,16,17,27,30,36,37,41,43,47,60,61,62,64,66,69,78,79,2,79
1336726,1769318700,2,4,9,14,18,22,23,26,28,31,43,49,51,54,58,61,70,74,75,79,1,2
1336727,1769319000,7,9,11,17,19,21,23,30,35,36,37,41,57,58,60,70,73,75,78,79,2,37
1336728,1769319300,3,5,9,10,11,16,18,21,24,26,47,54,56,57,66,68,70,71,74,79,3,21
1336729,1769319600,10,14,20,22,25,27,30,34,40,41,42,47,53,59,61,64,66,68,76,78,2,10
1336730,1769319900,5,6,8,9,20,23,29,30,33,34,35,40,50,52,54,64,72,76,77,80,2,20
1336731,1769320200,10,14,16,20,30,31,33,34,36,37,38,39,40,45,52,59,64,70,77,80,1,45
1336732,1769320500,1,2,3,4,10,15,17,24,35,42,47,51,52,58,63,67,71,72,73,75,1,72
1336733,1769320800,2,4,7,13,15,18,20,21,33,35,38,42,44,45,46,48,51,71,77,78,1,42
1336734,1769321100,2,4,7,9,18,20,27,31,40,41,43,48,51,60,61,62,74,75,77,80,1,51
1336735,1769321400,13,18,20,25,28,30,31,33,35,36,43,49,51,52,55,58,61,62,63,72,1,28
1336736,1769321700,4,5,13,15,27,28,29,35,45,49,57,60,63,64,65,66,69,73,74,75,1,5
1336737,1769322000,6,8,9,10,15,24,27,36,37,38,43,46,49,55,56,61,66,68,71,74,1,9
1336738,1769322300,1,14,23,26,33,35,37,38,39,41,46,48,53,67,68,70,71,72,77,79,1,14
1336739,1769322600,2,4,14,18,28,38,40,42,44,51,55,56,58,62,66,67,74,76,78,79,1,66
1336740,1769322900,1,4,9,14,26,29,31,42,44,47,54,55,57,59,60,67,69,70,71,78,1,14
1336741,1769323200,2,7,15,25,29,30,31,33,36,40,42,46,48,53,59,66,67,68,73,77,1,40
1336742,1769323500,2,22,23,28,29,30,35,40,41,45,46,47,48,50,55,62,63,66,69,80,1,62
1336743,1769323800,3,5,13,16,20,24,28,31,35,40,45,48,49,52,54,58,64,66,69,72,3,40
1336744,1769324100,3,4,19,28,33,37,41,42,46,50,52,54,60,61,62,64,66,67,69,73,1,73
1336745,1769324400,4,24,25,26,27,35,39,41,42,43,45,54,57,58,62,63,65,70,71,72,1,65
1336746,1769324700,1,2,7,11,20,28,29,30,32,35,36,39,45,48,52,55,58,66,73,75,1,66
1336747,1769325000,6,13,15,17,25,29,31,35,37,38,42,43,49,50,60,61,63,69,78,79,1,15
1336748,1769325300,4,14,15,18,24,36,37,40,41,44,47,49,50,52,56,66,67,68,73,78,1,49
1336749,1769325600,17,19,20,26,27,30,32,34,36,37,40,42,44,46,49,58,61,68,69,72,2,68
1336750,1769325900,4,5,13,16,22,23,24,34,38,39,41,43,48,50,51,57,64,73,78,79,1,22
1336751,1769326200,7,12,14,20,21,24,26,31,32,33,35,36,37,43,50,51,63,69,70,76,1,43
1336752,1769326500,5,6,8,13,17,21,32,39,42,43,48,53,55,57,63,65,66,68,72,76,1,76
1336753,1769326800,1,2,5,7,15,18,21,31,32,41,43,46,47,50,53,58,76,77,78,80,1,2
1336754,1769327100,8,10,13,14,15,18,29,32,33,40,41,42,43,54,56,57,65,66,70,76,1,70
1336755,1769327400,5,6,8,13,15,20,21,25,27,42,43,44,52,61,62,63,65,67,70,78,1,78
1336756,1769327700,1,6,7,13,26,27,30,38,41,48,51,52,59,60,61,64,66,67,74,75,1,38
1336757,1769328000,1,2,3,5,8,15,18,19,24,32,34,38,42,43,46,48,52,61,67,80,2,38
1336758,1769328300,1,2,8,11,12,18,21,28,34,42,43,45,60,62,64,71,72,75,76,80,3,45
1336759,1769328600,7,9,13,17,22,31,33,34,36,39,40,50,56,59,60,63,65,68,73,77,1,63
1336760,1769328900,5,7,13,14,15,16,20,21,22,24,33,34,51,54,55,66,67,70,75,79,1,70
1336761,1769329200,4,14,16,24,27,29,30,31,33,37,43,46,47,49,54,63,67,69,74,75,1,29
1336762,1769329500,9,12,19,24,27,28,29,31,33,36,38,40,44,45,48,51,57,60,63,77,1,9
1336763,1769329800,1,12,22,24,30,31,34,36,37,42,43,49,51,61,64,65,66,70,71,73,1,51
1336764,1769330100,2,5,8,9,11,20,29,30,39,42,44,45,46,47,54,56,61,66,70,79,4,20
1336765,1769330400,3,6,7,14,17,19,22,32,35,38,42,44,46,48,49,53,57,61,67,74,1,46
1336766,1769330700,8,11,12,17,22,27,28,46,49,51,54,55,56,59,65,69,70,72,75,76,5,22
1336767,1769331000,1,6,11,17,21,23,24,30,49,51,54,55,65,68,70,73,74,76,78,79,3,21
1336768,1769331300,7,8,10,15,20,21,24,25,32,33,39,43,56,61,66,68,70,74,76,80,4,56
1336769,1769331600,6,10,11,13,19,21,22,26,27,28,40,51,52,55,60,63,68,73,76,77,2,76
1336770,1769331900,3,10,12,13,17,21,34,37,38,42,43,45,53,58,60,61,66,69,73,79,4,37
1336771,1769332200,4,7,9,14,16,20,25,32,34,39,40,48,51,52,55,58,66,70,75,77,1,51
1336772,1769332500,5,9,12,13,18,19,30,31,34,38,45,46,49,57,58,71,72,73,76,77,1,31
1336773,1769332800,1,6,8,9,12,21,25,26,33,35,39,45,52,55,56,57,62,64,67,78,2,52
1336774,1769333100,1,4,10,14,15,16,19,24,29,31,36,42,46,49,62,63,69,74,77,78,1,78
1336775,1769333400,1,4,7,10,13,15,17,38,42,44,46,50,53,56,57,60,65,73,75,76,5,1
1336776,1769333700,1,5,6,14,15,26,27,33,34,38,39,41,50,51,52,53,61,75,76,79,1,51
1336777,1769334000,10,11,14,15,24,26,30,33,35,41,43,45,47,51,54,58,65,66,76,78,2,24
1336778,1769334300,2,6,10,11,15,24,30,32,34,38,42,45,47,48,49,50,58,66,69,78,3,47
1336779,1769334600,6,7,12,13,21,27,28,30,31,39,45,46,47,50,51,61,67,69,76,77,2,7
