id,unix_utc,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,boost,bonus
1336780,1769334900,2,4,5,6,11,18,19,32,35,38,39,40,46,53,57,59,66,67,71,78,3,78
1336781,1769335200,1,7,13,18,20,23,28,38,40,42,44,45,46,48,51,54,56,66,67,71,2,1
1336782,1769335500,1,10,17,23,30,33,34,40,41,43,45,46,58,61,65,72,75,76,78,79,4,75
1336783,1769335800,4,7,20,27,34,43,45,46,52,55,56,57,60,62,64,67,68,74,78,79,1,55
1336784,1769336100,3,4,8,15,16,18,22,27,30,34,38,50,53,54,56,58,67,71,73,80,5,30
1336785,1769336400,5,8,14,17,21,22,23,34,37,38,39,40,42,46,53,55,59,61,62,65,2,65
1336786,1769336700,1,7,8,11,18,21,25,30,31,36,40,41,43,47,51,58,60,69,71,75,3,31
1336787,1769337000,10,11,13,20,28,29,30,33,34,39,40,43,46,49,54,68,70,74,78,80,1,11
1336788,1769337300,2,10,12,22,27,31,37,39,43,48,52,53,54,55,56,61,67,69,72,73,1,54
1336789,1769337600,1,4,10,12,14,19,21,23,27,35,46,53,55,57,67,69,71,72,75,76,10,72
1336790,1769337900,4,5,12,17,24,31,33,34,37,40,44,48,50,55,62,65,67,70,74,79,2,37
1336791,1769338200,1,2,4,7,10,11,20,28,37,40,41,44,47,48,53,55,57,64,70,79,3,47
1336792,1769338500,1,3,10,22,23,28,30,40,41,42,44,45,47,48,50,56,62,65,73,76,5,62
1336793,1769338800,6,10,11,33,35,36,42,45,49,52,60,65,66,67,68,69,73,75,77,78,1,78
1336794,1769339100,10,13,19,22,23,26,36,39,46,48,51,52,53,58,60,67,71,72,76,78,1,48
1336795,1769339400,4,10,13,15,16,23,28,30,36,37,41,47,48,50,58,59,63,64,73,80,1,28
1336796,1769339700,4,14,20,29,31,34,37,43,46,47,53,54,56,61,63,64,75,76,78,80,5,29
1336797,1769340000,1,3,18,24,26,34,35,42,46,47,53,56,61,64,65,69,70,72,74,80,2,18
1336798,1769340300,10,12,17,21,24,25,38,39,42,45,46,48,49,54,57,66,69,73,74,80,1,24
1336799,1769340600,3,5,17,20,21,27,32,33,38,39,43,49,51,62,65,67,68,72,75,80,1,5
1336800,1769340900,1,8,15,19,20,26,27,37,40,41,43,50,51,52,54,55,64,69,72,77,10,20
1336801,1769341200,1,8,12,14,21,27,30,32,39,46,60,62,63,65,66,67,70,72,75,77,1,60
1336802,1769341500,3,6,10,13,19,20,21,22,28,30,33,37,42,44,48,55,70,74,76,79,5,3
1336803,1769341800,4,9,11,13,22,23,37,40,50,51,53,56,61,64,65,67,68,71,74,79,1,79
1336804,1769342100,3,9,10,15,17,22,30,36,39,42,49,60,61,65,66,67,70,72,76,78,1,10
1336805,1769342400,2,7,11,14,16,22,42,45,46,47,49,51,57,62,63,66,72,73,76,77,2,72
1336806,1769342700,3,12,16,20,22,27,31,40,41,43,46,47,48,55,63,64,67,68,77,78,5,55
1336807,1769343000,6,8,9,12,17,23,28,34,35,37,39,47,50,53,55,58,59,63,67,79,2,37
1336808,1769343300,1,3,7,9,13,23,32,37,38,39,41,50,55,56,59,63,65,68,72,78,3,32
1336809,1769343600,8,10,17,18,19,20,23,38,43,44,51,60,61,62,64,67,69,71,74,78,4,62
1336810,1769343900,2,4,9,17,23,24,26,28,29,36,40,49,54,58,61,62,66,70,74,80,5,36
1336811,1769344200,4,5,7,8,9,18,35,40,47,48,49,52,55,57,61,67,69,74,78,79,3,67
1336812,1769344500,1,3,5,7,8,11,21,28,29,30,34,42,46,55,65,66,67,72,76,78,2,11
1336813,1769344800,3,8,14,21,23,26,32,34,38,42,44,48,49,50,51,58,64,71,74,76,3,49
1336814,1769345100,3,5,9,19,25,28,29,33,42,43,45,48,49,51,55,65,67,72,75,77,1,55
1336815,1769345400,3,7,11,17,18,21,23,25,28,30,37,40,44,46,53,57,62,70,71,75,5,37
1336816,1769345700,2,3,18,25,26,29,36,37,46,52,53,60,61,68,70,71,72,73,74,80,1,29
1336817,1769346000,3,8,15,21,23,25,41,42,49,50,53,55,66,69,73,74,75,76,77,80,2,8
1336818,1769346300,4,7,10,11,21,26,29,32,35,37,42,43,48,59,63,67,70,71,73,74,3,21
1336819,1769346600,2,5,10,19,22,25,28,29,32,37,46,48,50,54,58,63,66,68,70,73,1,29
1336820,1769346900,2,6,7,19,21,27,28,29,31,35,37,43,47,49,55,61,62,67,74,75,2,19
1336821,1769347200,5,8,13,16,20,24,29,31,32,36,40,42,43,45,60,63,65,71,72,79,2,40
1336822,1769347500,3,13,19,22,23,28,30,35,36,38,51,55,58,60,66,67,69,70,76,77,1,55
1336823,1769347800,1,10,16,20,23,29,37,38,46,48,49,50,56,59,62,69,71,72,73,75,1,71
1336824,1769348100,5,6,8,11,12,20,25,27,37,40,41,43,45,46,47,58,60,70,71,73,1,45
1336825,1769348400,1,2,11,14,16,25,26,28,32,33,36,37,49,55,60,64,66,69,73,75,4,1
1336826,1769348700,1,4,6,12,15,17,22,25,26,29,30,33,44,50,57,58,61,67,69,71,1,25
1336827,1769349000,3,6,7,8,11,12,20,24,26,32,33,35,40,41,43,52,61,63,75,76,2,3
1336828,1769349300,1,12,16,17,18,21,23,28,36,39,45,47,52,59,60,65,73,74,76,80,1,74
1336829,1769349600,1,4,13,25,26,29,31,32,41,45,46,49,52,53,54,59,64,69,70,74,1,29
1336830,1769349900,3,17,22,23,25,31,37,43,45,48,52,54,55,57,62,67,72,73,75,77,2,17
1336831,1769350200,1,2,4,11,13,24,25,26,27,32,38,39,40,45,50,55,67,71,74,77,1,1
1336832,1769350500,2,3,5,10,16,21,23,26,27,30,31,45,47,48,52,61,64,67,75,79,2,5
1336833,1769350800,4,5,6,7,13,21,25,26,27,28,34,35,39,49,63,69,71,72,77,80,3,49
1336834,1769351100,6,7,9,10,13,14,18,22,24,35,36,41,54,55,60,64,66,73,78,79,1,64
1336835,1769351400,5,8,12,14,17,18,19,20,23,25,31,33,34,36,40,56,57,62,63,64,1,14
1336836,1769351700,3,8,9,11,13,20,22,29,31,43,48,51,53,56,59,62,64,65,75,79,2,64
1336837,1769352000,2,10,14,15,19,20,22,39,51,52,55,56,58,59,60,61,63,66,68,69,1,51
1336838,1769352300,1,4,6,7,14,17,21,23,25,27,46,49,51,52,58,59,60,62,68,74,1,49
1336839,1769352600,1,10,17,19,24,27,31,35,36,37,45,46,48,50,52,64,65,68,76,77,10,64
1336840,1769352900,3,9,10,11,17,18,32,34,36,40,46,52,55,63,69,70,72,73,76,79,2,72
1336841,1769353200,8,11,15,17,19,20,25,29,33,40,43,47,48,53,56,57,62,69,72,76,1,53
1336842,1769353500,3,7,15,16,17,18,29,31,36,40,42,43,45,52,53,56,58,67,73,77,2,43
1336843,1769353800,1,4,5,6,12,17,25,29,31,36,40,43,47,51,57,61,66,71,72,74,2,66
1336844,1769354100,7,8,9,12,15,17,20,21,23,27,33,35,39,40,55,66,68,69,73,77,1,40
1336845,1769354400,1,5,6,11,14,18,19,22,23,24,29,42,43,47,55,56,60,62,64,65,1,60
1336846,1769354700,1,4,17,23,29,34,40,44,46,47,48,51,52,54,57,60,66,71,72,76,1,17
1336847,1769355000,3,6,10,15,16,17,18,19,22,24,28,36,43,44,55,57,62,64,69,79,1,24
1336848,1769355300,2,5,7,15,21,29,34,39,42,47,49,51,57,62,71,72,73,74,75,80,3,49
1336849,1769355600,1,3,4,6,10,15,16,18,24,28,38,40,42,46,58,61,62,66,69,77,2,4
1336850,1769355900,10,14,17,21,32,35,37,38,39,41,46,48,53,56,61,66,67,73,77,78,2,32
1336851,1769356200,1,3,4,10,15,19,25,27,29,32,41,43,45,46,51,63,66,68,70,78,2,78
1336852,1769356500,10,12,13,14,19,25,27,31,33,39,45,49,55,56,57,59,63,74,77,80,2,49
1336853,1769356800,11,12,20,21,24,27,40,43,46,48,50,53,54,55,58,61,66,67,72,77,1,58
1336854,1769357100,10,11,13,20,23,33,38,42,45,46,52,53,56,57,60,62,67,68,75,76,3,75
1336855,1769357400,1,6,8,9,11,12,13,21,30,32,37,39,47,50,51,57,63,64,75,79,1,63
1336856,1769357700,4,9,13,14,15,23,24,25,37,38,40,43,46,49,51,52,55,62,64,77,3,24
1336857,1769358000,5,16,17,18,20,22,23,29,34,36,38,39,44,46,53,58,63,65,73,75,2,36
1336858,1769358300,4,5,6,7,10,17,24,28,34,40,43,45,47,50,54,56,62,66,70,75,2,7
1336859,1769358600,2,4,5,8,10,15,16,18,26,29,34,39,43,50,65,69,72,73,76,77,2,65
1336860,1769358900,2,5,7,10,12,14,18,21,22,27,41,43,46,56,58,60,62,66,73,80,3,2
1336861,1769359200,3,4,5,6,7,10,14,15,22,24,35,38,40,43,57,59,70,73,75,79,3,5
1336862,1769359500,7,10,11,16,17,19,26,32,35,38,40,43,49,51,59,61,65,67,71,74,2,51
1336863,1769359800,5,14,15,17,26,35,36,37,42,47,54,57,67,68,69,71,72,74,78,79,3,35
1336864,1769360100,8,12,14,16,18,21,22,24,36,39,40,41,44,45,47,52,62,63,70,72,1,16
1336865,1769360400,4,6,8,11,16,17,19,24,26,29,44,45,50,52,53,59,64,71,74,78,4,71
1336866,1769360700,3,8,11,15,18,20,21,24,32,33,37,42,49,53,59,61,63,64,65,78,4,37
1336867,1769361000,6,8,9,12,21,22,30,33,34,36,37,38,42,44,47,51,66,67,71,74,1,12
1336868,1769361300,1,5,9,11,14,15,18,20,22,25,31,39,47,54,55,59,62,65,69,75,1,75
1336869,1769361600,5,8,13,14,24,29,32,35,37,38,39,45,46,49,51,56,62,63,70,75,1,45
1336870,1769361900,9,11,14,16,19,29,31,32,33,50,56,58,61,62,64,66,67,71,75,80,1,31
1336871,1769362200,4,9,24,28,36,46,47,48,52,53,54,59,60,61,63,64,69,71,72,76,10,53
1336872,1769362500,4,5,10,12,14,19,21,22,23,26,31,33,34,36,44,47,71,75,78,79,3,22
1336873,1769362800,3,7,17,18,19,23,32,37,39,44,46,50,51,56,58,61,64,70,72,74,1,32
1336874,1769363100,1,2,5,8,9,10,13,15,21,22,25,29,32,39,48,54,56,65,71,75,1,1
